recordid,lat,lon,state
094b42e1b8148cee95a1a3cbbf87d6f6666ca781,-77.99550239,35.33360701,north carolina
53b96cf02be9ef07bd194ab22d040a89608a76c1,-78.40570257,36.3151872,north carolina
116885a34c5b6ecf4c8e9398b75a2000fe46457d,-81.22950337,35.52469693,north carolina
a6d44c3be322b633d39b72589ba9c3d4eb60aa78,-78.70800256,34.33149676,north carolina
d6b74ffe417531ab13b0d25ca51f06cb1abbb84b,-77.8694023,34.23473677,north carolina
56bd616119bc24d507763e2372ce8aa9a1fd67ec,-79.1307027,34.70619683,north carolina
e4d7fb97f095877626468c3f6f71307dd06e45ae,-79.7540029,34.91275685,north carolina
872e42fce528da34ec8cfdc6b5bf9411443c57dc,-78.63510261,35.77599708,north carolina
4bdae48d5b60512c6a8a56c0104bc0f6f2f3e912,-78.70190255,34.34860677,north carolina
0fb0ae66081da682cf67186a743e2d8900c23fc9,-77.05550209,35.11496699,north carolina
81d7feeb3923cf23ebf4db6456538b2b16c1b774,-77.8694023,34.23476677,north carolina
62536894c457c59c0b553aa7bdfa85c5438a7a0a,-82.56150377,35.5988769,north carolina
c7b58e92325a39cd908c7f92de376da27dbf9f72,-81.09040332,35.3533669,north carolina
74016f0eca7a8cb1b75381bbb468e61c901150b9,-77.92710232,34.23201677,north carolina
848b00c5219c443b6f78732dd7f09550795f7284,-79.81720298,36.0957971,north carolina
ac5f88173d3219f921353a0694873b930ad606bb,-78.3200025,35.51759703,north carolina
3d13b6653677b62c84c2199bc273e70a255f73a6,-81.66950354,36.19885706,north carolina
adb41b69800caace330b5f2c29e2ff4ed7952a2c,-80.80800325,35.59634696,north carolina
8f9b46909d90f65f92b2208c6547487c8827b4c0,-83.67010408,35.28513679,north carolina
8682c6f1e60386e1be9e894c2944eda913e60e7e,-78.73790265,35.91966711,north carolina
c22c39e3146270e1043693be285e4e048ebd317b,-78.69120262,35.76905708,north carolina
e83ba53f2be1ce3790636a8030c9bb5ac96f89ae,-78.56770256,35.32498698,north carolina
f567f674d8eae75b7d001ce772896119ccec9337,-78.35630251,35.49447703,north carolina
c1bb005550baf37fb758cd6deadf26ae08287a5c,-78.8876027,35.99355712,north carolina
a1eabd422ea70e41849f80d47de7ca1daa29bb32,-78.67320262,35.78888708,north carolina
e90478c209908ca6fde6c4ebe978cbc13e3dc8d3,-79.10490268,34.49784679,north carolina
96285ec38b076bbc9dd9fdca4756c070e1f37de3,-78.64180261,35.78830708,north carolina
84038fdeab59fc539509c7c5db85e36cd1c98d67,-78.94060271,35.99152711,north carolina
b2e214b0e47f70ef3e128f225572490f81131071,-81.94570357,35.30950686,north carolina
b52011e940f335041ee3b5b442ce3ea50aa15aec,-81.20810335,35.25512687,north carolina
65c0c4a549ba9a8ef121f19cd25e628f8edf6cae,-77.89910238,35.71157709,north carolina
478e2e28fc03b49ed8060dc6c5cbbd09a7315b9d,-77.89800238,35.71983709,north carolina
d291e230bc044a4346df4f2b289d2a08f7809dbe,-78.88640268,35.75797707,north carolina
7f23023dc20ff907ae539591e982930293602ac4,-79.17050275,35.477547,north carolina
b75f8d150886ea2a761b1a2f69cb1961b48769e2,-77.65750233,36.1781372,north carolina
48d855533ede0cd279e08f57d51d7bd350e3cee0,-77.38080222,35.57790708,north carolina
f6daa84ad2dfea7c4089250a8fcf62401cd5d75f,-78.92800271,35.99038711,north carolina
25a0cf0fcb51b649bf5199f0e9b50586352c29bb,-79.81270298,36.0653371,north carolina
0acba31225458b34ffa98a1a4573b6f7043d6acd,-78.82300267,35.79161708,north carolina
a3936649e7bb762fb44cb7279819877f26c6f798,-77.37580222,35.61276709,north carolina
83f9a6afc7216e5e1571245958034b384018e542,-78.73530265,35.91953711,north carolina
2c7d7b23a2ba71ed03cff00a0969b01db078eaf4,-77.92660237,35.38438702,north carolina
2843e2a46de9252a748281f6ec1b372a9972e105,-81.56070349,35.896637,north carolina
19e6405dfd389336548e2cdcb7c7daeafafedf6d,-77.58750228,35.59911708,north carolina
e16a208fdabfcdf43ed9b50d9aa1fb01f57590fd,-78.40960245,33.93076668,north carolina
4cd2c336a6246cac16c11551d71ec8c34b8bbccf,-80.79045323,35.25016689,north carolina
fe1e47fc630c75b0ef97834fa370ceaf69566f22,-80.23437811,36.11484109,north carolina
6c2da2db8b4ad2b10ade877dedbecd52ba98b218,-78.98553768,35.03485391,north carolina
0babb5bdb8ab894e36bfe4ce52be3ce7e4e78131,-80.02081304,35.97878207,north carolina
8e32cb6a33eeeccd73fcb40c8bf115476a02e841,-77.93558732,34.22618676,north carolina
9d5c278fef1da58f5f52b64f9679aa874ae2947c,-77.37946217,34.7472529,north carolina
21f016b95760a2035cabe639ce19670afea58736,-80.44598317,36.09996408,north carolina
651305bb5bdf0509ce6f8f25bda8d0d76ac19446,-80.56391315,35.01033285,north carolina
265a273e43fd3bf89dabcb96947385d4fa415c59,-78.99292268,35.10343492,north carolina
799fd189ee5bc1e71d1611715bf30abf02f3f26d,-76.93586204,34.72559291,north carolina
b50d4b42da93679400b4daa201ef33929cfb6bf8,-80.50024316,35.66186699,north carolina
644d5faaba9b94e51ea6b1b92c5e88432711f119,-81.19466335,35.23858687,north carolina
90f5794c98d43353dfecfae6872c898dbe4c91de,-80.02816304,35.93840706,north carolina
9e6487c0f270f1ed85847b2ca44622d2e3ef81ad,-77.05298207,34.66102189,north carolina
36882f259c13d97c2fbc44ad44b394c2795bf160,-78.66964262,35.78816708,north carolina
c0b2e050e535798f260989248ab45f8a6d25ccfb,-77.41249223,35.61819409,north carolina
71a2579640ff6730ec345d68c8413189539e47f1,-80.88093325,35.21359188,north carolina
b5e5ca47342a3ccd04a88b06b605db076df0c9d1,-78.87679269,35.99662712,north carolina
a456db3504b2506a9c83aeb55ca47d4364fd4ec8,-78.6029326,35.76827908,north carolina
54571a35e256045b3b56251f32538bbbd2fc2f0c,-78.73670262,35.409417,north carolina
89f52db785c49090277dbe870fff478502da4545,-80.88299925,35.11347886,north carolina
26a7869e0baad7b0fbe8a542a26769c390866991,-78.64201261,35.77577708,north carolina
529d7b6ff7df1aefa46d8afe283360aa3f0ad2c2,-77.06046208,34.6987409,north carolina
35b9b28cc40ec189116ed23a0088efe567dc4171,-77.07426208,34.7247569,north carolina
2d9d14da3141f0d0e050b16f46cf0d04f307585a,-79.07276275,35.91027709,north carolina
3634339ef93d3aced61a320a4339fce407325ce4,-78.63412761,35.77197208,north carolina
a96f5a11d93b5fbd8743c2cf0de5cb28e846089f,-79.77331297,36.0852201,north carolina
1b56e8c6b324a3bb96cbafd42243bba8269ce45c,-78.59794859,35.74736307,north carolina
a458af32c75abf8d82624b198b7637f2b18946cd,-81.19912335,35.23705987,north carolina
2897f59049355487547863d2f9e73adf72b29cfe,-76.1840719,36.53114733,north carolina
c615e4fee5e0aded1f23b2f135a5a3f9cb81bded,-80.24820311,36.09950709,north carolina
120b4acb87197828772f28c7fa3ac4da9f2fe13b,-80.81045825,35.58432296,north carolina
e63b830c115925bbc68b88b235d2b943a448d7bc,-78.93698266,34.9782249,north carolina
7b83cc5e889bd370522513eb8b429a5dda72205f,-82.54986977,35.58971289,north carolina
01bf5daff41268698515c4adbc3a650ee5f35239,-79.5437829,36.10656712,north carolina
3fe2bfc0741a4e5207d9b9816f7f89207f2501ed,-79.76423297,36.0740731,north carolina
4ad34225b27f6ed51e922c00cac93fbe706d9f65,-80.81203825,35.59985296,north carolina
606e8308568831eaee0fe3b2a459b2ba48151120,-78.39829257,36.33296921,north carolina
92c8f3c09e23158a532dbf130e729d49e019b99a,-79.80762298,36.10836711,north carolina
c33e66ecea7778c0dc8049f1ab3186a393d85850,-77.58288226,35.26869901,north carolina
e2ab2e8b3c41c08deae35af37135731fc1dde473,-82.43830372,35.25922283,north carolina
92f0c935d824a4803478582945aa6f384c5ce85e,-78.8893727,35.98992712,north carolina
cbf4a06a045b9a05b4242b1dae2c057b69dc7f92,-79.19044773,34.82099485,north carolina
54d881f5e011b39190e6e68a8f987283b84dabc3,-75.65047171,35.99585323,north carolina
657ede705e3c778041ec7923c8c10c2b7fc3cf72,-78.8778427,36.03061712,north carolina
244a1be9d5376d1dddce9a84f2cd3e7b4d074b1b,-80.10332306,35.89350705,north carolina
f7e78938e24becfe901511a6ee36e9f0d8e81520,-75.74547174,36.15557726,north carolina
944ec72d565f8febc7945af7af16c022a19177d3,-81.43014345,35.77046098,north carolina
08a8f9f200f4888d6fcf50e8d8a8c7aa51c34bed,-79.76521296,36.0656431,north carolina
9342b2e6b8f474fbad26b01956e548f0281d2975,-78.67094262,35.77596708,north carolina
a914bdb501599121cf6629010ddc8b385c2c0544,-81.68144355,36.21648306,north carolina
218792930af2dfce35ac6a4f85c1a6f6828370ca,-78.58340259,35.77109708,north carolina
3824572032819f21582df65f1004e00f92ac0286,-80.77946322,35.22221288,north carolina
65a0e724190d3a14a5dbf8888287d590c01da2bc,-77.88507239,35.96926415,north carolina
70ac74cd4614d91b4c7f4aa2654d74da8505c8c2,-80.74900321,35.18427688,north carolina
59fe5f87a53a8fedb4c97762da6a5553dc1691f8,-79.45347887,36.08496012,north carolina
dade708721fffedb4debe56390c11fb598e1fd3e,-80.20560807,35.649871,north carolina
10339175522126dd67a645fdcdcfc2af97203f95,-78.73587258,34.74929385,north carolina
69c57988ea9cb1a0e1abdcadc7216f7d7316bacf,-77.94003232,34.21945476,north carolina
c581be1223c6eeff862b5482dd4d4b6b33c5172e,-80.80127323,35.21063888,north carolina
